Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of calcium ion transport (GO:0051928)	1/37	0.0885322278902676	0.2218348421880335	0	0	11.289115646258503	27.36920368672352	STIM2
GO_Biological_Process_2021	regulation of transport (GO:0051049)	1/37	0.0885322278902676	0.2218348421880335	0	0	11.289115646258503	27.36920368672352	SCFD1
GO_Biological_Process_2021	regulation of erythrocyte differentiation (GO:0045646)	1/37	0.0885322278902676	0.2218348421880335	0	0	11.289115646258503	27.36920368672352	ZFP36L1
GO_Biological_Process_2021	regulation of microtubule cytoskeleton organization (GO:0070507)	1/37	0.0885322278902676	0.2218348421880335	0	0	11.289115646258503	27.36920368672352	STMN4
GO_Biological_Process_2021	regulation of p38MAPK cascade (GO:1900744)	1/37	0.0885322278902676	0.2218348421880335	0	0	11.289115646258503	27.36920368672352	GADD45B
GO_Biological_Process_2021	protein insertion into ER membrane (GO:0045048)	1/37	0.0885322278902676	0.2218348421880335	0	0	11.289115646258503	27.36920368672352	MMGT1
GO_Biological_Process_2021	actin-myosin filament sliding (GO:0033275)	1/38	0.0908151166313484	0.2218348421880335	0	0	10.983452840595698	26.34852930034076	ACTC1
GO_Biological_Process_2021	regulation of cell communication (GO:0010646)	1/38	0.0908151166313484	0.2218348421880335	0	0	10.983452840595698	26.34852930034076	CRK
GO_Biological_Process_2021	response to cAMP (GO:0051591)	1/38	0.0908151166313484	0.2218348421880335	0	0	10.983452840595698	26.34852930034076	ZFP36L1
GO_Biological_Process_2021	histone exchange (GO:0043486)	1/38	0.0908151166313484	0.2218348421880335	0	0	10.983452840595698	26.34852930034076	ACTR6
GO_Biological_Process_2021	mRNA destabilization (GO:0061157)	1/38	0.0908151166313484	0.2218348421880335	0	0	10.983452840595698	26.34852930034076	ZFP36L1
GO_Biological_Process_2021	muscle filament sliding (GO:0030049)	1/38	0.0908151166313484	0.2218348421880335	0	0	10.983452840595698	26.34852930034076	ACTC1
GO_Biological_Process_2021	regulation of protein targeting to mitochondrion (GO:1903214)	1/39	0.0930924017046572	0.2227568183647155	0	0	10.693877551020408	25.38900533231373	RHOU
GO_Biological_Process_2021	regulation of viral entry into host cell (GO:0046596)	1/39	0.0930924017046572	0.2227568183647155	0	0	10.693877551020408	25.38900533231373	IFITM2
GO_Biological_Process_2021	regulation of intracellular transport (GO:0032386)	1/39	0.0930924017046572	0.2227568183647155	0	0	10.693877551020408	25.38900533231373	SCFD1
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	1/39	0.0930924017046572	0.2227568183647155	0	0	10.693877551020408	25.38900533231373	NDUFS5
GO_Biological_Process_2021	positive regulation of ossification (GO:0045778)	1/40	0.0953640965755271	0.2266760925106745	0	0	10.419152276295131	24.485561288951835	FBN2
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	2/209	0.0961284696354655	0.2266760925106745	0	0	3.9740338164251208	9.30746441383207	CSNK1E;HAUS2
GO_Biological_Process_2021	regulation of response to DNA damage stimulus (GO:2001020)	1/41	0.0976302146847681	0.2266760925106745	0	0	10.158163265306122	23.633660200289185	NPAS2
GO_Biological_Process_2021	positive regulation of biomineral tissue development (GO:0070169)	1/41	0.0976302146847681	0.2266760925106745	0	0	10.158163265306122	23.633660200289185	FBN2
GO_Biological_Process_2021	heart contraction (GO:0060047)	1/41	0.0976302146847681	0.2266760925106745	0	0	10.158163265306122	23.633660200289185	ACTC1
GO_Biological_Process_2021	T cell differentiation (GO:0030217)	1/41	0.0976302146847681	0.2266760925106745	0	0	10.158163265306122	23.633660200289185	ZFP36L1
GO_Biological_Process_2021	ATP-dependent chromatin remodeling (GO:0043044)	1/42	0.0998907694703361	0.2296508376548414	0	0	9.909905425584869	22.829231064333683	ACTR6
GO_Biological_Process_2021	skeletal system morphogenesis (GO:0048705)	1/42	0.0998907694703361	0.2296508376548414	0	0	9.909905425584869	22.829231064333683	FBN2
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	2/216	0.1015881472155216	0.2298655808262007	0	0	3.842679127725857	8.78754780712842	FBN2;ITGA4
GO_Biological_Process_2021	myofibril assembly (GO:0030239)	1/43	0.1021457742794159	0.2298655808262007	0	0	9.673469387755102	22.068611238785657	ACTC1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	2/217	0.1023751607426323	0.2298655808262007	0	0	3.824612403100775	8.716716836108898	FBN2;ITGA4
GO_Biological_Process_2021	response to amyloid-beta (GO:1904645)	1/44	0.1043952424647777	0.2298655808262007	0	0	9.448030374940672	21.34849709415977	ITGA4
GO_Biological_Process_2021	regulation of endothelial cell apoptotic process (GO:2000351)	1/44	0.1043952424647777	0.2298655808262007	0	0	9.448030374940672	21.34849709415977	ITGA4
GO_Biological_Process_2021	positive regulation of mRNA catabolic process (GO:0061014)	1/44	0.1043952424647777	0.2298655808262007	0	0	9.448030374940672	21.34849709415977	ZFP36L1
GO_Biological_Process_2021	positive regulation of osteoblast differentiation (GO:0045669)	1/44	0.1043952424647777	0.2298655808262007	0	0	9.448030374940672	21.34849709415977	FBN2
GO_Biological_Process_2021	neurogenesis (GO:0022008)	1/44	0.1043952424647777	0.2298655808262007	0	0	9.448030374940672	21.34849709415977	CXCR4
GO_Biological_Process_2021	embryonic organ morphogenesis (GO:0048562)	1/44	0.1043952424647777	0.2298655808262007	0	0	9.448030374940672	21.34849709415977	FBN2
GO_Biological_Process_2021	regulation of DNA repair (GO:0006282)	1/45	0.1066391873529346	0.2315452725394738	0	0	9.232838589981448	20.665901611884028	NPAS2
GO_Biological_Process_2021	cellular response to radiation (GO:0071478)	1/45	0.1066391873529346	0.2315452725394738	0	0	9.232838589981448	20.665901611884028	OPN1SW
