ensembl_id	gene_symbol	gene_biotype	comparison	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_strict
ENSG00000129538	RNASE1	protein_coding	MGS4_vs_MGS1	28.116064134390538	0.9623455262472458	0.1614983133585166	5.958858060089434	2.540065940905181e-09	3.761583651886482e-05	True	False
ENSG00000160307	S100B	protein_coding	MGS4_vs_MGS1	114.66315028092613	0.6692392496830852	0.1253505259635675	5.338942493768206	9.349028969981792e-08	0.000555645140825781	True	False
ENSG00000163453	IGFBP7	protein_coding	MGS4_vs_MGS1	219.08607677529184	0.4475711045952153	0.08436493514913634	5.305179264394861	1.1256232172849908e-07	0.000555645140825781	True	False
ENSG00000184254	ALDH1A3	protein_coding	MGS4_vs_MGS1	13.717017768343638	0.9020668176947502	0.17786194319806203	5.071724740408543	3.942263338892368e-07	0.0014595244446414268	True	False
ENSG00000188501	LCTL	protein_coding	MGS4_vs_MGS1	8.326961010976685	0.8071496139585751	0.16305239509847289	4.950246903586482	7.411938978336355e-07	0.002195268086603662	True	False
ENSG00000112936	C7	protein_coding	MGS4_vs_MGS1	117.06712255947741	0.5939042403439405	0.12169499539235061	4.880268399116695	1.0594156080624228e-06	0.00261481428996607	True	False
ENSG00000144810	COL8A1	protein_coding	MGS4_vs_MGS1	25.01687826262326	0.741956167667838	0.15699493107944928	4.725988046660956	2.289991198266265e-06	0.004844639950732159	True	False
ENSG00000154864	PIEZO2	protein_coding	MGS4_vs_MGS1	7.9198931044280325	0.8288929947200881	0.17653767337497603	4.695275398580066	2.6624777001772915e-06	0.004928579032740688	True	False
ENSG00000121236	TRIM6	protein_coding	MGS4_vs_MGS1	6.396748855305372	0.7111570178932526	0.15700890389400537	4.52940565952454	5.9149837586821655e-06	0.009001800853067406	True	False
ENSG00000125730	C3	protein_coding	MGS4_vs_MGS1	717.1442823614972	0.7428841570365605	0.16422276993012552	4.523636748744692	6.078601426880549e-06	0.009001800853067406	True	False
ENSG00000162520	SYNC	protein_coding	MGS4_vs_MGS1	13.799248352690007	0.5386707062241104	0.12042645236190021	4.473026446094428	7.712023517276327e-06	0.010382486933395012	True	False
ENSG00000182326	C1S	protein_coding	MGS4_vs_MGS1	373.67895650058244	0.40585633414253885	0.09285952792864073	4.370648259750202	1.2387820837016669e-05	0.015287603231281654	True	False
ENSG00000181804	SLC9A9	protein_coding	MGS4_vs_MGS1	57.87755557469289	0.4253919875414206	0.09813102913943386	4.334938614951071	1.4580080235225408e-05	0.015422600585960932	True	False
ENSG00000143768	LEFTY2	protein_coding	MGS4_vs_MGS1	27.378804687594453	0.9344360526121499	0.21531336001720192	4.339888860298755	1.4255479614282514e-05	0.015422600585960932	True	False
